id; dificuldade; questao; alt_correta; alt1; alt2; alt3; alt4
1;fácil; Qual das alternativas é um exemplo de reciclagem?;alt2; Incineração; Coleta seletiva; Acúmulo de matéria-prima; Todas as alternativas
2;fácil; Qual dos seguintes gases contribui para o efeito estufa?;alt2; Vapor de sulfito; Cloro-flúor carboneto (CFC); Oxigênio (O2); Dióxido de carbono (CO2)
3;fácil; O que é coleta seletiva?;alt3; Escolha aleatória do melhor lixo produzido; Processo de envio de todo lixo produzido para cooperativas ou entrega para catadores de rua; Processo de separação e recolhimento dos resíduos para o reaproveitamento por meio de reciclagem; Destinação de resíduos para lixões e aterros
4;fácil; Qual das alternativas abaixo representa uma atitude para reduzir a produção de resíduos e colaborar com a preservação do meio ambiente?;alt4; Reutilizar materiais e objetos, sempre que possível; Apoiar iniciativas de reciclagem; Optar pela compra de produtos com embalagens recicláveis; Todas as alternativas
5;fácil; Atualmente, qual país é o maior emissor de CO2, principal gás responsável pelo efeito estufa?;alt3; EUA; Brasil; China; Alemanha
6;médio; Qual das alternativas abaixo refere-se à gestão responsável pela administração do exercício de atividades econômicas e sociais na utilização de recursos naturais?;alt3; Gestão ecológica; Gestão política; Gestão de recursos ambientais; NDA
7;médio; Qual das alternativas NÃO refere-se a um importante tratado voltado ao meio ambiente?;alt2; Protocolo de Kyoto; Tratado Florestal; RIO+20; Agenda 2030
8;médio; Qual das florestas abaixo NÃO está localizada no Brasil?;alt2; Pantanal; Tundra; Caatinga; Mata Atlântica
9;médio; Qual a porcentagem, aproximada, de água que cobre a Terra?;alt4; 65%; 80%; 78%; 71%
10;médio; O que são produtos biodegradáveis;alt2; Produtos que se decompõem facilmente e são compostos por materiais sintéticos; Produtos que se decompõem facilmente e são compostos por elementos orgânicos; Produtos produzido através de processo artesanal que não agride o meio ambiente; Produtos que não se decompõem facilmente e são compostos por materiais orgânicos
11;difícil; Qual o objetivo da Lei da Política Nacional do Meio Ambiente?;alt1; Incentivar o estudo das questões ambientais e o uso da tecnologia em prol delas; Promover o controle potencial da emissão de gases por indústrias de grande porte; Fiscalizar a utilização e eficiência da coleta seletiva nos bairros e cidades; NDA
12;difícil; Qual a principal característica de ambientes espoliados?;alt1; Escassez de recursos naturais por consequência da utilização ilegal e excessiva dos mesmos; Originado de ações humanas; Ambiente multi característico; Ambientes cobertos por mata
13;difícil; O que significa o termo “GREENWASHING”?;alt2; Organizações que atuam no segmento de produtos verdes; Marcas que criam uma falsa aparência de sustentabilidade; Empresas especializadas em reciclagem; Tipo de limpeza que utiliza apenas produtos sustentáveis
14;difícil; De maneira simplificada, do que se trata a logística reversa?;alt3; Possibilidade de o consumidor devolver um produto ao fabricante por defeito ou insatisfação; Processo em que a mercadoria é transportada de maneira mais sustentável até o consumidor; Processo em que uma empresa coleta resíduos de determinado produto e depois o descarta adequadamente ou reutiliza o mesmo; NDA
15;difícil; O que é ESG?;alt2; Selo de sustentabilidade para produtos da Europa; Conjunto de padrões e práticas que auxiliam o investidor a analisar empresas sob aspectos ambientais, sociais e de governança; Indicador de consumo de recursos naturais para empresas ligadas ao setor financeiro; Técnica de compostagem